Concrete mixture,"Moisture content, wc(%)_mean","Moisture content, wc(%)_SD","P-wave velocity, Vp(m/s)_mean","P-wave velocity, Vp(m/s)_SD","Dynamic elastic modulus, Yd(GPa)_mean","Dynamic elastic modulus, Yd(GPa)_SD","Global autocorrelation length, ξg(mm)_mean","Global autocorrelation length, ξg(mm)_SD","Integral range, Xog(mm)_mean","Integral range, Xog(mm)_SD","Autocorrelation length of the pore structure, ξp(μm)_mean","Autocorrelation length of the pore structure, ξp(μm)_SD","Integral range, Xop(mm)_mean","Integral range, Xop(mm)_SD","Mean pore diameter, dp(mm)_mean","Mean pore diameter, dp(mm)_SD","Maximum pore diameter, dpmax(mm)_mean","Maximum pore diameter, dpmax(mm)_SD","Porosity, po(%)_mean","Porosity, po(%)_SD","Diameter, φ(mm)","Height, h(mm)","Mass of sample, (kg)","Density, ρ(kg/m3)","Peak load, Fmax(kN)","Compressive failure strength, CS(MPa)"
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,312.3,14.9,2368.3,756.8,37.6
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,315.0,15.0,2369.6,767.5,38.2
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,311.7,14.8,2365.8,754.2,37.5
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,318.0,15.1,2357.8,701.1,34.9
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,314.3,15.0,2368.4,735.3,36.6
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,316.2,15.2,2395.3,767.9,38.2
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,315.2,15.2,2402.5,739.0,36.8
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,318.3,14.9,2334.6,743.6,37.0
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,311.0,15.1,2410.8,762.1,37.9
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,316.0,15.3,2413.8,748.5,37.2
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,317.5,15.2,2383.9,697.3,34.7
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,315.2,15.2,2405.7,766.9,38.1
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,316.3,15.1,2381.1,753.9,37.5
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,312.0,15.0,2394.2,708.5,35.2
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,314.0,15.1,2387.2,766.7,38.1
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,311.2,14.9,2375.7,742.5,36.9
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,308.0,14.8,2383.1,738.7,36.7
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,315.0,15.2,2399.2,746.5,37.1
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,315.8,15.1,2375.3,720.5,35.8
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,313.0,15.0,2380.7,750.5,37.3
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,310.0,14.9,2387.3,696.0,34.6
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,312.0,14.8,2366.6,729.8,36.3
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,311.0,14.9,2378.8,733.0,36.5
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,313.2,15.0,2381.2,718.9,35.8
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,316.0,15.2,2385.9,739.3,36.8
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,317.3,15.3,2391.3,741.9,36.9
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,313.0,15.1,2397.5,719.8,35.8
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,315.0,15.3,2413.8,745.3,37.1
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,316.3,15.2,2395.0,765.2,38.1
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,313.2,15.1,2404.1,789.4,39.3
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,314.0,15.2,2406.3,762.7,37.9
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,315.0,15.1,2389.9,774.6,38.5
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,314.2,15.3,2417.9,716.9,35.7
C,3.1,0.2,4365.5,252.3,40.5,4.9,3.8,0.5,27.8,6.7,10.5,4.9,7.1,3.4,0.29,0.19,5.3,1.0,1.6,0.3,160.0,316.8,15.2,2392.8,665.4,33.1
